계정 ID,리뷰 다는 사람 레벨,방문 날짜,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무,별점,계정의 별점 평균,계정의 리뷰 수
"붐
실버 레벨
25",실버 레벨,2026-03-03,맛있는데 평일 점심 대기 삼십분은 있어요 ㅋㅋ,25,1,4,4,122
"빵떠억
블루 레벨
63",블루 레벨,2026-02-23,이젠 너무나 평범한 측에 속한.. 생선까스가 더 맛있다,30,1,3.8,3.8,401
"성현
브론즈 레벨
6",브론즈 레벨,2026-02-09,튀기는 온도 잘못맞춰서 그런지 시간을 잘 못맞췄는지 반쯤먹었을때무터 튀김바닥이 축축했어요 다른지점에서먹었을때 맛있던기억에 방문한건데 실망스러워요,80,1,3,3,4
"미식연습생K
골드 레벨
42",골드 레벨,2026-02-09,요즘 대부분 돈카츠집들이 상향평준화되서 그런지 특별함은 못느꼇습니다 다만 찍어먹는 트러플 소금이 맛있었지만 양이 적엇고 셀러드소스도 양이너무 적었습니다,84,1,3,3,273
"린
실버 레벨
30",실버 레벨,2026-01-04,"나온 지 5분도 안 되어서 카츠가 축축해졌어요. 등심은 익힘이 살짝 아쉬웠고, 안심은 육향도 익힘도 좋았지만 축축함 때문에 점점 먹기가 힘들었어요.... 더보기",89,1,3.8,3.8,59
"김치맨👨‍🍳
블루 레벨
78",블루 레벨,2025-12-30,"고급 일식 돈까스의 시초같은 집 본점은 처음 방문했는데, 전반적으로 마음에 들었음 요즘은 진짜 동네마다 이정도... 더보기",68,1,3.8,3.8,985
"INFJ의 솔직한 리뷰
골드 레벨
35",골드 레벨,2025-12-27,이 가격대의 돈카츠 중 고기 체급으로 단연 1등. 첫 방문은 홍대점이었지만 본점만의 맛집 바이브가 또 있다. 안심을 등심보다 안 좋아하는데도 안심이 생각이상이었고 생선카츠도 추천.,100,1,4.5,4.5,151
"깜냥
골드 레벨
38",골드 레벨,2025-12-17,안심 추천,5,1,4.1,4.1,82
"둥글레차
골드 레벨
55",골드 레벨,2025-12-09,여전히 맛있어요. 미묘하게 예전같지 않다는 느낌이 들지만 그래도 맛있음,39,1,4.2,4.2,522
"얍
골드 레벨
51",골드 레벨,2025-12-08,얍 51 팔로워 68 메뉴 더보기 . 근처 사진 위치기반 0,33,1,4.1,4.1,614
"동동이
실버 레벨
26",실버 레벨,2025-11-29,너무 맛있어용!!!!!!!! 안심 드시고 광명 찾으시길,30,1,4.7,4.7,50
"성원
골드 레벨
47",골드 레벨,2025-11-20,💛점심을 정돈에서 먹었는데 비가 많이 와서 외부 사진을 많이 찍지 못했어요. 가게가 지하에 있어서 잘 찾아야 하고 웨이팅도 길다는 단점이 있습니다. 하지만 기다린 만큼 맛이 좋아서 괜찮았습니다.참고로 저는 ... 더보기,122,1,4.1,4.1,7
"!
실버 레벨
11",실버 레벨,2025-11-08,진짜 너어어어어무 맛이써효 최고,17,1,3.9,3.9,7
"맛집유영
골드 레벨
59",골드 레벨,2025-10-13,세월 지나도 여전히 줄서는 돈카츠집. 블랙타이거새우가 정말 크고 맛있습니다. 안심도 굉장히 훌륭합니다.,57,1,4,4,590
"유
실버 레벨
25",실버 레벨,2025-10-10,"정돈 홍대점, 더현대점에 이어 처음으로 본점에 방문해 보았습니다. 오랜만에 먹어서 그 맛이 잘 기억 안났는데 역시 돈까스 중 맛있는편에 속합니다. 지하1층이고 낡은듯한 느낌이지만 맛은 좋았습니다. 저녁타임 오픈타임... 더보기",126,1,4.4,4.4,35
"reddd
브론즈 레벨
7",브론즈 레벨,2025-08-29,안심 넘넘 굳!,8,1,4.4,4.4,7
"xos
실버 레벨
29",실버 레벨,2025-07-05,"토요일 1시에가서 20분정도의 웨이팅 이렇게 맛있는 카츠 처음 먹어본다 안심, 생선카츠 대존맛",52,1,3.4,3.4,69
"방방
실버 레벨
26",실버 레벨,2025-06-07,먹어본 돈까스집 중 역시 원탑 돈까스도 맛있지만 밑반찬도 다 맛있음,37,1,4.8,4.8,46
"정히를따르라
퍼플 레벨
82",퍼플 레벨,2025-06-01,카레기본맛했는데조금매움 안심이더맛있 ... 더보기,27,1,3.5,3.5,1672
"J
브론즈 레벨
8",브론즈 레벨,2025-03-13,J 8 팔로워 2 메뉴 더보기 . 근처 사진 위치기반 0,31,1,5,5,11
