계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
hy****,25,2026.04.08,1번째 방문,영수증,넘넘 맛있게 잘먹었습니다!,14,True
md****,17,2026.04.08,1번째 방문,영수증,맛집으로 소문난 정돈 오랜만에 방문했어요 대기가 조금 있긴했지만 질 좋은 맛있는 음식으로 가족과 함께 기분 좋은 점심 시간 즐겼어요 항상 변함없이 맛있어요,86,True
일상기로기,87,2026.04.08,2번째 방문,영수증,오랜만에 방문한 정돈. 역시 변치 않는 맛인데 제 픽은 역시나 안심입니다..평일에 10분전 오픈런했더니 바로 들어갈 수 있었어요. 요즘 돈까스집 많긴해도 적당한 튀김옷에 퀄리티 좋은 일식돈까스의 정석을 먹고 싶다면 역시나 정돈 추천.,130,True
wld****,50,2026.04.07,1번째 방문,영수증,병원다녀서 주변 맛집찾다가 발견해서 오게되었는데 돈까스가 엄청 바삭하고 속은 부드럽고 너무맛있어요:)~~ 매장도 넓고 웨이팅도 빨리 빠져서 오래대기하지 않아서 좋네요~ 안내해주시는것도 친절하시고 너무좋네요 자주 애용하겠습니다~,126,True
메롱77,32,2026.04.07,1번째 방문,영수증,정돈은 워낙 유명해서 돈가스 먹고 싶을 때 종종 먹는 데인데 새우카츠를 처음 먹어보고 너무 충격적으로 맛있어서 놀랐어요..크기도 엄청 크고 양이 우선 많구요!! 고소해서 정말 맛있습니당 메뉴는 새우안심카츠인데 안심도 너무 부드러워서 먹기 편해서 강추해요🥳,142,True
가현싀,31,2026.04.06,1번째 방문,영수증,친구랑 돈카츠 먹으러 혜화 정돈에 왔어용 종종 방문하던 곳인데 스페셜 등심은 처음 먹어봐용 다른 가게 상등심과는 다르게 더 쫄깃 부들하고 양도 많아서 배부르게 한끼할수있어 좋았답니당 특히 여기는 찍어먹을수있는 것들이 많이 더욱 좋더라구요 조만간 또 먹으러 가야겠어용!,149,True
노형우98,61,2026.04.06,2번째 방문,영수증,대학로에서 돈까스 하면 가장 먼저 생각이 나는곳! 카레부터 돈까스 새우까지 너무맛있어요 ㅠㅜ,51,True
미용에진심,52,2026.04.06,1번째 방문,영수증,남편이랑 오랜만에 대학로 데이트나 하다가 예전에 방문했던 정돈에 다시 왔어요 ㅎㅎ 운 좋게 웨이팅 없이 바로 식사할 수 있었고 저희 뒤로는 다들 웨이팅하셨어요. 12시전으로오면 웨이딩 없는거 같아요! 음식은 여전히 맛있었고 육즙이 가득해서 좋네요,137,True
브레인35,946,2026.04.06,1번째 방문,영수증,대학로 정돈은 분위기도 깔끔하고 음식도 전체적으로 정갈해서 편했고 돈카츠는 튀김은 바삭하고 속은 촉촉해서 식감이 좋고 부담 없이 먹기 좋다. 직원들도 친절한 편이라 기분 좋게 식사할 수 있었어요~~,110,True
Cldlxmcm,51,2026.04.05,1번째 방문,영수증,신선하고 맛있습니다~ 주말저녁인데 다행히 웨이팅 없이 들어갔어요,35,True
