계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
여행이 고픈자,2094,2026.04.01,1번째 방문,영수증,창경궁 나들이 갔다가 들렀는데 너무 맛있는 식당이네요 다만 3명 이상은 대기가 길어져서 한참 기달렸어요ㅠㅠ 둘이 가면 빠르게 입장 가능할듯요,78,True
연극죽여주는이야기,1360,2026.03.01,3번째 방문,영수증,혜화맛집만 검색하면 오이지가 전체 도배되서 마케팅 힘이다 생각했는데 막상 먹어보니 완전 맛집 인정합니다 하나하나 맛에 섬세함이 느껴져서 왜 줄을 그리 많이 서는지 알게 되었습니다 꼭 와서 드셔 보시길 강력 추천합니다!!!,123,True
박ㄸㅏ,37,2026.04.06,1번째 방문,영수증,아이가 먹고싶다해서 들어왔는데 빠른 테이블셋팅에 여러가지메뉴도 막힘없이 착착 나와서 너무 좋았어요! 맛도 너무 좋아서 재방문 무조건 하려구용:),80,True
연극죽여주는이야기,1360,2026.02.19,2번째 방문,영수증,"차돌들기름국수(알싸한맛),흑임자크림수제비,마라차돌 순두부 3가지 시켜서 먹었는데 정말 맛있는건 앞서 말했던 두가지가 정말 맛있네요 크림수제비는 치즈가 듬뿍 들어있어 깊은 고소함을 더하고 차돌들기름국수는 알싸한 맛에 들기름의 진한 향~ 단짠에 고소함까지 더해져 구미 당기는 맛이라 정신 못차리고 흡입했습니다 정말 찐 맛집 인정!!! 잘 먹고 갑니다",193,True
또재맘79,36,2026.03.21,1번째 방문,영수증,"시그니처위주로 먹었는데 맛있네요~~~^^ 미나리새우전 바삭하고, 순두부찌개도 맛깔스럽네요~ 특히 차돌들기름국수 짜지않고 너무 고소하고 맛나요♡",79,True
하지래빗,105,2026.04.06,1번째 방문,영수증,서울대병원 갔다가 방문했어요! 퓨전 한식이라 독특한데 메뉴에 치즈가 듬뿍 들어있어요~ 저는 치즈 좋아해서 좋았습니다🫶🏻,66,True
kindkirin,16,2026.04.04,1번째 방문,영수증,음식이 깔끔하고 맛있었어요 테이블 간격이 너무 좁지 않아서 아이 데리고 밥 먹기도 좋았습니다. 들기름 국수 맛있었어요 다음에 또 올 거 같아요,79,True
ces****,15,2026.04.09,1번째 방문,영수증,"오이지 식당 다녀왔는데 진짜 조합 미쳤음 🤤 들기름막국수는 고소한 향이 딱 올라오면서 면이 쫄깃해서 계속 들어감… 자극적이지 않은데도 계속 먹게 되는 맛이라 깔끔하게 좋았고, 마라찌개는 얼얼하면서도 깊은 맛이 있어서 막국수랑 같이 먹으니까 밸런스 완전 잘 맞음 👍 전체적으로 메뉴 조합이 너무 좋고, 한 끼 제대로 먹은 느낌이라 만족도 높았음. 다음에 또 재방문 의사 있음!",209,True
연극죽여주는이야기,1360,2026.02.13,1번째 방문,영수증,"흑임자크림수제비,오이지소왕갈비,명란치즈순두부 음식3가지와 알밤막걸리 시켰는데 둘이서 먹기엔 양이 많아 보였는데 정말 깔끔하게 다 먹었네요 홍보가 제일 잘 되어 있길래 맛은 어떨까 궁금했는데 완전 맛집 인정!!! 재 방문 무조건 할 맛집입니다 잘 먹고 갑니다",143,True
sun****,25,2026.04.09,1번째 방문,영수증,너무맛잇어요 왜 대학로 대표 맛집으로 뽑혔는지 알겠네요~~ 언제와도 맛잇고 데이트 친목 다 상관없이 오시면 좋을거같애요,66,True
99j****,23,2026.03.21,1번째 방문,영수증,명란 치즈 순두부라는 이색적인 메뉴에 이끌려서 왔는데 정말 맛있어요! 끓이면서 먹을 수 있어서 따뜻하고 맛있게 잘 먹었네요~ 양도 많아요! 덮밥도 맛있었습니다^^,90,True
이혜림98,33,2026.04.04,1번째 방문,영수증,들기름 막국수랑 마라찜 너무 맛있어요 들기름은 진짜 추천합니다bbb최고!!,41,True
OBND,1857,2026.04.07,13번째 방문,영수증,맛있게 단맛 있는 스키야끼 덮밥과 명란치즈순두부 조합 좋아요,33,True
체리핑크77,93,2026.03.21,1번째 방문,영수증,메뉴 주문 후 빠르게 나오는 곳 넘 맘에 드어요~배고플때오니 빠른속도의 차림 짱~~음식도 맛있고 직원분들 모두 친절하시네요~맛있게 잘 먹었습니다~^^,83,True
326****,32,2026.03.30,1번째 방문,영수증,데이트로 방문했는데 정말 너무 맛있네여ㅜㅜ 나중에는 사과 막걸리도 먹어보고 싶어요. 순두부가 진짜…짱……,58,True
yangys83,75,2026.03.21,1번째 방문,영수증,가족들과 왔는데 음식이 특이하고 맛있어요~ 특히 가지요리가 너무 맛있어요^^ 오픈런해서 들어왔는데 늦으면 대기해야해요^^,67,True
